,English,Italian,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
0,galore,a bizzeffe,1,0,0,0,0,0,0,0,0,0
1,aboard,a bordo,0,0,0,0,0,0,0,0,0,0
2,headlong,a capofitto,0,0,0,0,0,0,0,0,0,0
3,randomly,a caso,0,0,0,0,0,0,0,0,1,0
4,unlike,a differenza di,0,0,0,0,0,0,0,0,0,0
5,remote,a distanza,0,0,0,0,0,0,0,0,0,0
6,flaky,a falde,0,0,0,0,0,0,0,0,0,0
7,barely,a mala pena,0,0,0,0,0,0,0,0,0,0
8,grudgingly,a malincuore,0,1,0,0,0,0,0,0,0,0
9,halfway,a metà strada,0,1,0,0,0,0,0,0,0,0
10,midway,a metà strada,0,0,0,0,0,0,0,0,0,0
11,asunder,a pezzi,0,0,0,0,0,0,0,0,0,0
12,barefoot,a piedi nudi,0,0,0,0,0,0,0,0,0,0
13,aft,a poppa,0,0,0,0,0,0,0,0,0,0
14,handy,a portata di mano,1,0,0,0,0,0,0,0,0,0
15,speaking,a proposito di,0,0,0,0,0,0,0,0,0,0
16,backward,a rovescio,0,1,0,0,0,0,0,0,0,0
17,grounded,a terra,0,1,0,0,0,1,0,1,0,0
18,wrongly,a torto,0,1,1,0,0,1,0,1,0,0
19,aloud,a voce alta,0,0,0,0,0,0,0,0,0,0
20,abacus,abaco,0,0,0,0,0,0,0,0,0,1
21,abbot,abate,0,0,0,0,0,0,0,0,0,1
22,abba,abba,1,0,0,0,0,0,0,0,0,0
23,dazzling,abbagliante,0,0,0,0,0,0,0,0,0,0
24,glaring,abbagliante,0,1,1,0,0,0,0,0,0,0
25,blunder,abbaglio,0,1,0,0,1,0,0,1,0,0
26,forsake,abbandonare,0,1,0,0,0,0,0,1,0,0
27,abandoned,abbandonato,0,1,1,0,0,1,0,1,0,0
28,forlorn,abbandonato,0,1,0,0,0,0,0,1,0,0
29,forsaken,abbandonato,0,1,1,0,0,0,0,1,0,0
30,abandon,abbandono,0,1,0,0,0,1,0,1,0,0
31,abandonment,abbandono,0,1,1,0,0,1,0,1,1,0
32,neglect,abbandono,0,1,0,0,0,0,0,0,0,0
33,lowering,abbassamento,0,1,0,0,0,0,0,0,0,0
34,fairly,abbastanza,1,0,0,0,0,0,0,0,0,1
35,fell,abbattere,0,1,0,0,0,0,0,1,0,0
36,breakdown,abbattersi,0,1,0,0,0,0,0,0,0,0
37,downcast,abbattuto,0,0,0,0,0,0,0,0,0,0
38,beautification,abbellimento,1,0,0,0,0,0,1,0,0,1
39,embellishment,abbellimento,0,0,0,0,0,0,0,0,0,0
40,beautify,abbellire,1,0,0,0,0,0,1,0,0,0
41,embellish,abbellire,0,0,0,0,0,0,0,0,0,0
42,apparel,abbigliamento,0,0,0,0,0,0,0,0,0,0
43,attire,abbigliamento,0,0,0,0,0,0,0,0,0,0
44,clothing,abbigliamento,0,0,0,0,0,0,0,0,0,0
45,garb,abbigliamento,0,0,0,0,0,0,0,0,0,0
